Season,FlightDistance,FlightDuration,DepartureAirportCongestion,ArrivalAirportCongestion,DayOfWeek,TimeOfFlight,ScheduledDepartureTime,ActualDepartureTime,DepartureDelay,Temperature,Visibility,WindSpeed,WeatherEvent,Delayed
Autumn,7486,200,33,17,Sunday,Night,09/10/2024 09:00,09/10/2024 09:00,2,18.44915972,5607,27.99968357,Clear,0
Summer,4017,177,24,9,Tuesday,Evening,09/10/2024 10:00,09/10/2024 10:00,57,16.57396231,4985,36.94641481,Clear,1
Winter,4235,336,23,6,Friday,Afternoon,09/10/2024 11:00,09/10/2024 11:00,31,12.89816072,4179,40.63063195,Clear,1
Autumn,9852,279,15,43,Wednesday,Evening,09/10/2024 12:00,09/10/2024 12:00,30,9.839466271,5538,6.428978926,Adverse,0
Winter,8934,85,27,25,Sunday,Night,09/10/2024 13:00,09/10/2024 13:00,81,11.56052424,3362,0.919049489,Adverse,1
Autumn,3090,580,11,39,Friday,Night,09/10/2024 14:00,09/10/2024 14:00,42,18.46489671,3224,34.48192598,Adverse,1
Autumn,1563,69,17,49,Friday,Night,09/10/2024 15:00,09/10/2024 15:00,6,-9.89617412,7371,15.06958979,Clear,0
Spring,4824,437,14,28,Saturday,Evening,09/10/2024 16:00,09/10/2024 16:00,104,3.035438707,2726,31.2991957,Clear,0
Winter,9611,211,27,33,Thursday,Evening,09/10/2024 17:00,09/10/2024 17:00,0,15.91398603,6791,7.527229403,Adverse,0
Summer,5842,108,18,37,Tuesday,Morning,09/10/2024 18:00,09/10/2024 18:00,60,26.11080493,9073,23.45200233,Adverse,0
Summer,505,213,28,9,Saturday,Morning,09/10/2024 19:00,09/10/2024 19:00,13,-1.29216538,9458,25.2212373,Adverse,0
Winter,7989,352,47,18,Monday,Afternoon,09/10/2024 20:00,09/10/2024 20:00,51,17.34405869,8013,29.25389082,Adverse,1
Summer,9159,109,47,21,Sunday,Morning,09/10/2024 21:00,09/10/2024 21:00,95,25.72298419,1837,25.65850082,Clear,1
Summer,8695,590,4,2,Sunday,Afternoon,09/10/2024 22:00,09/10/2024 22:00,5,12.2313829,5584,24.78453851,Clear,1
Winter,6466,119,7,43,Tuesday,Night,09/10/2024 23:00,09/10/2024 23:00,102,-8.645943316,1686,16.6367077,Clear,0
Autumn,9337,226,45,38,Friday,Morning,10/10/2024 00:00,10/10/2024 00:00,9,12.46340792,1356,3.559011816,Adverse,0
Winter,617,261,35,40,Sunday,Evening,10/10/2024 01:00,10/10/2024 01:00,70,4.822244387,5647,4.47600984,Clear,0
Autumn,3051,205,48,36,Tuesday,Morning,10/10/2024 02:00,10/10/2024 02:00,89,36.48248039,5418,21.68891372,Adverse,0
Summer,6060,498,9,43,Sunday,Afternoon,10/10/2024 03:00,10/10/2024 03:00,97,-3.769330716,7642,17.78965639,Adverse,0
Summer,4789,301,8,37,Sunday,Morning,10/10/2024 04:00,10/10/2024 04:00,29,22.62379778,4391,25.80674023,Adverse,1
Summer,1346,542,45,15,Thursday,Night,10/10/2024 05:00,10/10/2024 05:00,99,-7.364011683,5357,15.24190846,Clear,0
Spring,6816,167,17,28,Monday,Evening,10/10/2024 06:00,10/10/2024 06:00,20,12.30852189,5879,34.39550457,Clear,1
Autumn,6969,285,17,18,Thursday,Afternoon,10/10/2024 07:00,10/10/2024 07:00,59,17.69897436,6319,43.1977411,Adverse,0
Spring,9833,491,49,34,Monday,Evening,10/10/2024 08:00,10/10/2024 08:00,80,4.897746566,3739,14.94315944,Clear,1
Spring,9415,478,33,22,Sunday,Evening,10/10/2024 09:00,10/10/2024 09:00,96,12.75378178,5784,9.649200397,Adverse,1
Winter,724,514,32,11,Saturday,Afternoon,10/10/2024 10:00,10/10/2024 10:00,73,-1.822310273,1877,5.809028713,Adverse,1
Spring,4708,219,8,13,Friday,Evening,10/10/2024 11:00,10/10/2024 11:00,114,5.206192473,3870,30.81270203,Adverse,0
Winter,6783,582,19,4,Sunday,Evening,10/10/2024 12:00,10/10/2024 12:00,62,21.05531625,1292,22.19279956,Clear,1
Winter,2548,136,38,22,Monday,Morning,10/10/2024 13:00,10/10/2024 13:00,110,5.090002793,9728,9.40078586,Clear,1
Spring,6733,568,3,7,Monday,Evening,10/10/2024 14:00,10/10/2024 14:00,41,34.98715392,3686,32.65683666,Adverse,1
Autumn,2328,500,5,43,Monday,Evening,10/10/2024 15:00,10/10/2024 15:00,50,21.42034788,1233,7.42415915,Clear,1
Autumn,2417,313,13,24,Sunday,Evening,10/10/2024 16:00,10/10/2024 16:00,63,11.93245092,3374,27.71503529,Clear,1
Autumn,4734,379,47,4,Tuesday,Evening,10/10/2024 17:00,10/10/2024 17:00,75,-8.062153222,3272,26.35741908,Clear,0
Autumn,7488,322,46,28,Saturday,Afternoon,10/10/2024 18:00,10/10/2024 18:00,55,14.97741676,1966,36.71139006,Clear,1
Autumn,2526,433,31,15,Tuesday,Night,10/10/2024 19:00,10/10/2024 19:00,79,28.23881211,1889,2.755481997,Adverse,1
Spring,4244,226,16,1,Friday,Morning,10/10/2024 20:00,10/10/2024 20:00,40,3.277879901,4863,44.39364659,Clear,0
Spring,9593,518,32,3,Sunday,Evening,10/10/2024 21:00,10/10/2024 21:00,31,30.33867848,7154,35.14958631,Adverse,0
Summer,509,339,22,14,Monday,Evening,10/10/2024 22:00,10/10/2024 22:00,14,2.590338303,4400,10.80629992,Adverse,0
Autumn,760,361,29,38,Saturday,Afternoon,10/10/2024 23:00,10/10/2024 23:00,61,31.1873194,9226,9.17026743,Clear,1
Spring,6538,590,22,1,Saturday,Night,11/10/2024 00:00,11/10/2024 00:00,26,-5.736582919,5542,21.58301071,Adverse,0
Summer,2719,277,43,38,Wednesday,Evening,11/10/2024 01:00,11/10/2024 01:00,27,33.30918544,4523,40.87826648,Adverse,0
Autumn,7541,161,3,38,Friday,Afternoon,11/10/2024 02:00,11/10/2024 02:00,80,14.95932255,2763,42.14749966,Clear,0
Winter,2560,347,10,21,Saturday,Morning,11/10/2024 03:00,11/10/2024 03:00,63,4.826879481,4291,26.02280461,Adverse,1
Summer,5787,226,42,48,Sunday,Morning,11/10/2024 04:00,11/10/2024 04:00,109,3.255662521,3488,43.04054313,Adverse,0
Spring,2119,95,21,29,Monday,Evening,11/10/2024 05:00,11/10/2024 05:00,58,11.60052795,2558,0.27218546,Clear,1
Winter,9012,412,16,5,Monday,Evening,11/10/2024 06:00,11/10/2024 06:00,113,39.95247491,5690,1.758731577,Clear,0
Winter,1842,132,12,49,Saturday,Night,11/10/2024 07:00,11/10/2024 07:00,57,1.016369672,7121,45.59107968,Clear,1
Winter,3332,412,2,10,Tuesday,Night,11/10/2024 08:00,11/10/2024 08:00,1,-4.839167556,3276,38.76659649,Clear,1
Summer,3324,129,41,28,Friday,Evening,11/10/2024 09:00,11/10/2024 09:00,35,19.25175844,5439,22.53530291,Clear,0
Spring,2494,484,24,21,Monday,Afternoon,11/10/2024 10:00,11/10/2024 10:00,113,14.42712332,2103,37.68050657,Adverse,0
Winter,3990,576,35,7,Saturday,Night,11/10/2024 11:00,11/10/2024 11:00,70,16.20981355,8520,47.78197309,Adverse,1
Autumn,9810,487,30,3,Monday,Evening,11/10/2024 12:00,11/10/2024 12:00,12,23.34677088,6409,38.60447619,Clear,0
Winter,8484,598,30,45,Saturday,Night,11/10/2024 13:00,11/10/2024 13:00,14,3.357203494,8869,42.11856669,Clear,0
Winter,2104,219,47,47,Friday,Evening,11/10/2024 14:00,11/10/2024 14:00,88,35.53324977,3956,38.03032907,Adverse,1
Summer,735,208,35,20,Saturday,Morning,11/10/2024 15:00,11/10/2024 15:00,86,11.78360331,8710,8.410554622,Clear,1
Summer,2408,289,19,19,Wednesday,Evening,11/10/2024 16:00,11/10/2024 16:00,59,-3.545690243,7017,41.67870548,Clear,1
Spring,9067,126,8,35,Saturday,Morning,11/10/2024 17:00,11/10/2024 17:00,21,27.11493784,4384,9.755441001,Adverse,0
Autumn,4030,440,26,4,Saturday,Night,11/10/2024 18:00,11/10/2024 18:00,62,22.15521763,1028,44.6305664,Adverse,0
Summer,5756,117,49,5,Sunday,Evening,11/10/2024 19:00,11/10/2024 19:00,89,5.787170124,9897,22.9324949,Adverse,0
Winter,3135,318,40,1,Friday,Night,11/10/2024 20:00,11/10/2024 20:00,96,21.0759362,8756,33.84883762,Clear,1
Spring,8662,401,7,4,Sunday,Morning,11/10/2024 21:00,11/10/2024 21:00,74,0.993097818,7948,24.86204239,Adverse,1
Winter,3060,189,30,12,Saturday,Evening,11/10/2024 22:00,11/10/2024 22:00,73,12.24196797,6755,4.699546471,Clear,1
Winter,5915,231,7,27,Friday,Night,11/10/2024 23:00,11/10/2024 23:00,24,34.97062611,4602,14.53611538,Adverse,0
Summer,3891,268,3,42,Wednesday,Morning,12/10/2024 00:00,12/10/2024 00:00,100,-3.323288342,6062,49.1865927,Clear,1
Spring,6451,413,1,23,Friday,Night,12/10/2024 01:00,12/10/2024 01:00,47,9.334822499,9071,48.03573758,Clear,0
Autumn,5968,530,36,25,Monday,Afternoon,12/10/2024 02:00,12/10/2024 02:00,42,31.05712124,8244,16.02434488,Clear,0
Autumn,8507,175,25,21,Sunday,Morning,12/10/2024 03:00,12/10/2024 03:00,116,38.47454497,7372,49.81484021,Adverse,1
Summer,9564,323,37,24,Friday,Morning,12/10/2024 04:00,12/10/2024 04:00,37,12.69630682,8105,42.27755977,Adverse,0
Summer,9944,501,1,25,Wednesday,Morning,12/10/2024 05:00,12/10/2024 05:00,40,15.34998101,4581,30.54797497,Adverse,1
Spring,6913,512,15,45,Thursday,Evening,12/10/2024 06:00,12/10/2024 06:00,44,18.60859809,3762,2.006231013,Clear,1
Autumn,7441,536,37,46,Saturday,Evening,12/10/2024 07:00,12/10/2024 07:00,87,36.61740708,1572,45.07234148,Adverse,1
Autumn,5320,346,13,32,Friday,Evening,12/10/2024 08:00,12/10/2024 08:00,39,32.91033955,8705,27.87146396,Adverse,1
Autumn,3398,362,40,32,Saturday,Afternoon,12/10/2024 09:00,12/10/2024 09:00,109,-1.469943769,1614,43.42380756,Clear,1
Winter,8046,370,8,5,Tuesday,Afternoon,12/10/2024 10:00,12/10/2024 10:00,119,11.83789089,5050,41.721456,Clear,1
Autumn,577,267,5,36,Monday,Morning,12/10/2024 11:00,12/10/2024 11:00,96,13.20002141,1325,41.65031076,Adverse,0
Winter,8077,505,9,46,Sunday,Afternoon,12/10/2024 12:00,12/10/2024 12:00,16,29.45480558,4740,34.90869304,Adverse,0
Spring,4727,114,1,42,Monday,Night,12/10/2024 13:00,12/10/2024 13:00,87,20.14464413,1358,14.57075693,Adverse,1
Winter,1100,71,36,49,Tuesday,Morning,12/10/2024 14:00,12/10/2024 14:00,100,22.7110231,4777,16.80801289,Clear,1
Spring,1565,459,35,42,Tuesday,Morning,12/10/2024 15:00,12/10/2024 15:00,56,39.90999538,6906,15.42346063,Adverse,1
Autumn,2636,574,2,39,Sunday,Night,12/10/2024 16:00,12/10/2024 16:00,1,-6.251997826,2721,1.002299977,Clear,0
Autumn,7443,296,40,16,Friday,Morning,12/10/2024 17:00,12/10/2024 17:00,95,1.150491177,2349,29.12844546,Clear,0
Spring,8304,338,23,33,Tuesday,Afternoon,12/10/2024 18:00,12/10/2024 18:00,61,10.39479687,4696,34.94168352,Adverse,0
Summer,7065,407,9,49,Thursday,Evening,12/10/2024 19:00,12/10/2024 19:00,87,7.389120152,4896,42.69329968,Adverse,1
Spring,6484,163,34,21,Saturday,Night,12/10/2024 20:00,12/10/2024 20:00,8,-8.917721933,5260,7.008271669,Clear,1
Summer,5642,576,46,9,Saturday,Afternoon,12/10/2024 21:00,12/10/2024 21:00,67,-5.411119676,7941,27.20915745,Clear,1
Winter,5170,307,14,6,Wednesday,Night,12/10/2024 22:00,12/10/2024 22:00,80,24.04766457,4808,0.400407034,Adverse,0
Winter,2690,423,4,45,Tuesday,Night,12/10/2024 23:00,12/10/2024 23:00,16,33.96622317,6246,4.754682386,Adverse,0
Winter,9684,380,30,35,Tuesday,Morning,13/10/2024 00:00,13/10/2024 00:00,116,15.71135056,9384,2.71058721,Adverse,1
Autumn,3212,345,31,39,Thursday,Morning,13/10/2024 01:00,13/10/2024 01:00,49,16.95955398,4845,36.2739017,Clear,1
Winter,2692,208,38,22,Monday,Afternoon,13/10/2024 02:00,13/10/2024 02:00,111,2.754671642,3577,4.052978194,Clear,0
Summer,1748,143,11,41,Monday,Night,13/10/2024 03:00,13/10/2024 03:00,93,28.39381818,1091,35.82264908,Adverse,1
Winter,4533,465,35,5,Saturday,Morning,13/10/2024 04:00,13/10/2024 04:00,39,27.58972937,5234,12.48123522,Clear,1
Spring,2497,515,8,42,Saturday,Morning,13/10/2024 05:00,13/10/2024 05:00,57,19.41828446,9672,43.88564803,Clear,1
Spring,4187,220,3,23,Friday,Night,13/10/2024 06:00,13/10/2024 06:00,74,0.633214326,7592,40.65749942,Adverse,1
Autumn,4518,519,14,17,Sunday,Afternoon,13/10/2024 07:00,13/10/2024 07:00,84,-5.149089088,9128,47.89151087,Clear,1
Spring,2470,559,13,12,Thursday,Afternoon,13/10/2024 08:00,13/10/2024 08:00,20,-6.788071207,2075,44.18810077,Adverse,1
Summer,8889,568,45,23,Sunday,Night,13/10/2024 09:00,13/10/2024 09:00,17,19.63480333,3513,46.66647096,Adverse,0
Winter,6265,540,32,16,Sunday,Afternoon,13/10/2024 10:00,13/10/2024 10:00,54,31.25176596,9168,42.93711983,Clear,1
Autumn,1702,173,34,3,Wednesday,Morning,13/10/2024 11:00,13/10/2024 11:00,28,32.91652159,7861,34.66909503,Clear,1
Winter,8635,420,45,30,Sunday,Night,13/10/2024 12:00,13/10/2024 12:00,23,13.18110372,9990,8.512957606,Adverse,1
Winter,6067,400,19,22,Wednesday,Morning,13/10/2024 13:00,13/10/2024 13:00,73,29.21356497,1604,13.58537594,Clear,1
Summer,8167,508,38,9,Sunday,Evening,13/10/2024 14:00,13/10/2024 14:00,108,37.34400982,3979,10.63634831,Adverse,0
Spring,6242,239,16,29,Thursday,Evening,13/10/2024 15:00,13/10/2024 15:00,16,3.758505624,8140,30.17928938,Clear,1
Spring,6288,466,2,47,Wednesday,Afternoon,13/10/2024 16:00,13/10/2024 16:00,17,9.898017319,8065,25.1809969,Clear,1
Winter,5908,255,40,37,Monday,Evening,13/10/2024 17:00,13/10/2024 17:00,41,36.57394963,5916,43.35399986,Clear,0
Autumn,9169,525,17,23,Wednesday,Morning,13/10/2024 18:00,13/10/2024 18:00,111,6.911548366,7800,47.63364332,Adverse,1
Spring,9946,370,34,13,Wednesday,Evening,13/10/2024 19:00,13/10/2024 19:00,83,35.69381452,1597,20.24299448,Clear,0
Autumn,1422,321,42,32,Thursday,Morning,13/10/2024 20:00,13/10/2024 20:00,100,39.05224311,8320,25.31752766,Adverse,0
Spring,919,478,16,46,Thursday,Afternoon,13/10/2024 21:00,13/10/2024 21:00,44,23.09053643,9705,48.57581784,Adverse,0
Autumn,2704,465,38,47,Wednesday,Afternoon,13/10/2024 22:00,13/10/2024 22:00,81,30.84451448,6622,13.81194708,Adverse,1
Summer,1620,202,2,48,Tuesday,Morning,13/10/2024 23:00,13/10/2024 23:00,16,27.47727821,2877,39.61953877,Clear,1
Autumn,1450,401,2,23,Thursday,Evening,14/10/2024 00:00,14/10/2024 00:00,72,24.97671288,2699,11.26199512,Adverse,1
Summer,2836,375,26,45,Friday,Afternoon,14/10/2024 01:00,14/10/2024 01:00,13,5.346553649,6780,34.07300577,Adverse,1
Summer,5873,160,13,17,Friday,Night,14/10/2024 02:00,14/10/2024 02:00,48,-7.145283105,1716,12.68078138,Clear,0
Autumn,2743,303,47,40,Monday,Afternoon,14/10/2024 03:00,14/10/2024 03:00,28,7.152586626,5086,44.18666944,Adverse,0
Summer,3145,549,31,21,Sunday,Evening,14/10/2024 04:00,14/10/2024 04:00,94,23.34679926,1665,28.07389719,Adverse,0
Winter,5112,71,34,2,Wednesday,Night,14/10/2024 05:00,14/10/2024 05:00,3,-4.873540089,8846,9.296682044,Clear,1
Summer,2365,298,39,37,Tuesday,Evening,14/10/2024 06:00,14/10/2024 06:00,81,-9.404100851,7611,11.21845878,Adverse,1
Spring,6528,101,3,6,Monday,Morning,14/10/2024 07:00,14/10/2024 07:00,19,-3.01538137,2079,24.69245979,Clear,0
Autumn,7826,488,8,44,Wednesday,Night,14/10/2024 08:00,14/10/2024 08:00,119,25.78679632,9419,48.08010128,Adverse,1
Winter,6871,217,23,18,Thursday,Evening,14/10/2024 09:00,14/10/2024 09:00,119,38.63968508,9340,38.48210819,Adverse,1
Autumn,6859,275,14,30,Friday,Night,14/10/2024 10:00,14/10/2024 10:00,46,39.15323498,2069,24.41548214,Clear,0
Spring,8363,521,27,22,Saturday,Evening,14/10/2024 11:00,14/10/2024 11:00,106,14.69895746,6263,16.88595723,Adverse,1
Spring,3728,193,29,33,Tuesday,Night,14/10/2024 12:00,14/10/2024 12:00,107,33.46761505,8951,27.46342467,Adverse,1
Spring,4219,126,39,30,Saturday,Evening,14/10/2024 13:00,14/10/2024 13:00,8,26.84132279,2363,37.41804167,Adverse,1
Summer,2871,66,39,17,Friday,Morning,14/10/2024 14:00,14/10/2024 14:00,76,15.05201185,5508,39.19642942,Clear,0
Summer,3391,585,1,43,Sunday,Night,14/10/2024 15:00,14/10/2024 15:00,78,18.63802665,2755,16.2304399,Clear,1
Autumn,4256,132,17,32,Sunday,Night,14/10/2024 16:00,14/10/2024 16:00,26,-3.138642669,1519,36.05796341,Clear,1
Autumn,4725,458,41,42,Saturday,Night,14/10/2024 17:00,14/10/2024 17:00,14,36.88307303,6463,32.889439,Clear,0
Winter,594,464,30,14,Thursday,Night,14/10/2024 18:00,14/10/2024 18:00,91,7.596488537,8233,47.9556146,Clear,1
Winter,3174,189,13,10,Wednesday,Morning,14/10/2024 19:00,14/10/2024 19:00,100,12.30746282,2102,46.55451453,Adverse,0
Autumn,7398,525,21,47,Thursday,Night,14/10/2024 20:00,14/10/2024 20:00,118,23.58301155,1597,39.46896628,Clear,1
Summer,1293,265,19,36,Saturday,Afternoon,14/10/2024 21:00,14/10/2024 21:00,18,6.695123576,4273,36.16973444,Clear,1
Spring,2616,325,19,34,Thursday,Morning,14/10/2024 22:00,14/10/2024 22:00,89,2.712958049,6781,13.70207949,Clear,1
Autumn,6279,596,25,9,Friday,Afternoon,14/10/2024 23:00,14/10/2024 23:00,51,21.55246966,7256,42.2982628,Adverse,0
Winter,6666,312,22,42,Tuesday,Night,15/10/2024 00:00,15/10/2024 00:00,25,-8.750795886,8258,21.37528519,Adverse,0
Summer,1314,348,31,28,Thursday,Evening,15/10/2024 01:00,15/10/2024 01:00,88,26.0362556,9780,13.61202713,Clear,0
Autumn,845,223,17,11,Friday,Afternoon,15/10/2024 02:00,15/10/2024 02:00,25,15.70116849,7554,19.2080379,Adverse,0
Autumn,9054,154,23,14,Tuesday,Night,15/10/2024 03:00,15/10/2024 03:00,25,20.28768653,9002,41.7967745,Adverse,0
Summer,2943,169,32,39,Sunday,Afternoon,15/10/2024 04:00,15/10/2024 04:00,45,21.59400796,5846,7.431660779,Adverse,1
Autumn,8283,395,10,47,Wednesday,Night,15/10/2024 05:00,15/10/2024 05:00,91,16.35250782,5798,22.80793706,Adverse,0
Summer,1484,297,10,19,Saturday,Night,15/10/2024 06:00,15/10/2024 06:00,48,19.12668887,7605,24.61787973,Clear,1
Spring,8290,440,36,15,Sunday,Night,15/10/2024 07:00,15/10/2024 07:00,81,24.18941004,3986,1.83148488,Clear,0
Summer,1327,495,8,28,Wednesday,Evening,15/10/2024 08:00,15/10/2024 08:00,95,27.65594236,1400,9.787301477,Adverse,1
Summer,4031,542,20,24,Sunday,Afternoon,15/10/2024 09:00,15/10/2024 09:00,52,26.37261956,3855,41.33712143,Adverse,1
Summer,7647,84,32,8,Monday,Morning,15/10/2024 10:00,15/10/2024 10:00,2,33.48082289,4412,41.53836943,Adverse,1
Autumn,4951,176,14,43,Sunday,Morning,15/10/2024 11:00,15/10/2024 11:00,65,-0.527828342,1056,14.62075419,Adverse,1
Autumn,4376,541,28,9,Friday,Morning,15/10/2024 12:00,15/10/2024 12:00,96,10.05739847,9022,43.74486173,Clear,0
Summer,6459,451,46,47,Tuesday,Morning,15/10/2024 13:00,15/10/2024 13:00,41,37.3898033,2875,38.58914695,Adverse,0
Autumn,626,596,24,33,Sunday,Night,15/10/2024 14:00,15/10/2024 14:00,18,9.829528719,5543,20.89537419,Clear,0
Winter,3677,138,15,33,Thursday,Afternoon,15/10/2024 15:00,15/10/2024 15:00,16,-3.756496155,5298,37.42031722,Adverse,0
Winter,9295,232,22,19,Wednesday,Afternoon,15/10/2024 16:00,15/10/2024 16:00,107,16.27225632,4768,48.06673156,Clear,1
Autumn,6524,71,30,3,Sunday,Evening,15/10/2024 17:00,15/10/2024 17:00,32,-4.525451372,6752,22.9484859,Adverse,0
Autumn,5609,187,4,10,Tuesday,Afternoon,15/10/2024 18:00,15/10/2024 18:00,75,0.142661936,5833,11.92135895,Clear,1
Summer,4646,151,13,40,Friday,Afternoon,15/10/2024 19:00,15/10/2024 19:00,48,39.91593783,2353,47.090825,Clear,0
Spring,7696,591,23,47,Monday,Afternoon,15/10/2024 20:00,15/10/2024 20:00,55,17.06813192,5987,30.18721443,Clear,1
Autumn,3868,506,8,42,Wednesday,Evening,15/10/2024 21:00,15/10/2024 21:00,62,4.202919452,7597,5.263258124,Adverse,1
Winter,4297,449,18,1,Saturday,Morning,15/10/2024 22:00,15/10/2024 22:00,2,39.73874773,5311,28.63414079,Clear,0
Summer,2292,102,12,29,Tuesday,Afternoon,15/10/2024 23:00,15/10/2024 23:00,106,38.32794593,3934,25.02904447,Adverse,0
Autumn,6232,313,31,34,Saturday,Evening,16/10/2024 00:00,16/10/2024 00:00,48,12.03695205,1022,42.7794447,Clear,1
Winter,3976,189,14,13,Tuesday,Evening,16/10/2024 01:00,16/10/2024 01:00,54,3.020155439,2209,26.53475949,Clear,1
Winter,3917,119,34,1,Tuesday,Night,16/10/2024 02:00,16/10/2024 02:00,25,31.9199819,9940,12.76162172,Adverse,0
Spring,2145,526,18,34,Friday,Evening,16/10/2024 03:00,16/10/2024 03:00,98,25.78103585,1804,33.78220319,Clear,0
Summer,9897,346,34,29,Friday,Morning,16/10/2024 04:00,16/10/2024 04:00,71,24.34707175,9325,27.12877263,Adverse,1
Summer,3530,576,11,48,Friday,Afternoon,16/10/2024 05:00,16/10/2024 05:00,51,34.65568707,5416,11.65223141,Adverse,1
Spring,3372,526,41,47,Sunday,Evening,16/10/2024 06:00,16/10/2024 06:00,99,24.47085669,9625,28.6813929,Adverse,0
Spring,3572,404,12,13,Thursday,Morning,16/10/2024 07:00,16/10/2024 07:00,116,4.189897152,6141,41.07677889,Adverse,1
Summer,2354,441,49,48,Tuesday,Evening,16/10/2024 08:00,16/10/2024 08:00,117,24.69315809,5968,1.428545886,Clear,1
Summer,4521,312,15,49,Wednesday,Evening,16/10/2024 09:00,16/10/2024 09:00,6,5.290675564,4671,31.54255193,Clear,1
Autumn,5162,115,31,29,Saturday,Evening,16/10/2024 10:00,16/10/2024 10:00,45,27.96194898,8292,17.47925979,Adverse,1
Autumn,7014,522,49,39,Friday,Evening,16/10/2024 11:00,16/10/2024 11:00,45,20.98739272,8001,14.63357229,Clear,1
Spring,5531,516,29,24,Sunday,Evening,16/10/2024 12:00,16/10/2024 12:00,99,-6.129422401,3098,19.62938752,Clear,0
Autumn,3208,142,26,26,Friday,Morning,16/10/2024 13:00,16/10/2024 13:00,15,15.64176812,9444,17.10113321,Adverse,1
Winter,7612,158,18,17,Saturday,Afternoon,16/10/2024 14:00,16/10/2024 14:00,23,7.16504846,6061,41.61195534,Clear,0
Autumn,8893,208,32,7,Saturday,Afternoon,16/10/2024 15:00,16/10/2024 15:00,60,6.428531637,4264,13.73989054,Adverse,1
Autumn,4007,388,22,13,Tuesday,Afternoon,16/10/2024 16:00,16/10/2024 16:00,53,20.11281512,6435,36.65765116,Clear,0
Winter,6956,215,38,5,Friday,Afternoon,16/10/2024 17:00,16/10/2024 17:00,61,6.116241223,9493,4.702991011,Clear,1
Spring,4712,249,17,26,Saturday,Morning,16/10/2024 18:00,16/10/2024 18:00,0,28.84468741,7691,47.56981862,Adverse,0
Winter,8470,553,23,49,Thursday,Night,16/10/2024 19:00,16/10/2024 19:00,48,-6.460428199,3763,31.11583186,Clear,1
Autumn,9266,322,24,3,Thursday,Night,16/10/2024 20:00,16/10/2024 20:00,24,23.01941262,5005,35.33592885,Clear,0
Spring,1036,139,8,7,Friday,Morning,16/10/2024 21:00,16/10/2024 21:00,9,30.45974018,4241,14.9019666,Adverse,1
Autumn,2125,459,41,49,Sunday,Morning,16/10/2024 22:00,16/10/2024 22:00,117,23.6415845,4057,20.60482844,Clear,1
Winter,8473,319,6,39,Saturday,Evening,16/10/2024 23:00,16/10/2024 23:00,79,14.86145975,1550,11.18891931,Adverse,1
Winter,9077,160,5,1,Tuesday,Evening,17/10/2024 00:00,17/10/2024 00:00,15,37.51535069,6574,46.62680429,Clear,1
Autumn,8570,418,44,49,Tuesday,Evening,17/10/2024 01:00,17/10/2024 01:00,57,4.99692449,6411,24.40522236,Adverse,0
Summer,9166,439,29,17,Sunday,Afternoon,17/10/2024 02:00,17/10/2024 02:00,71,-9.041605624,2587,31.52240578,Adverse,1
Summer,9109,280,28,43,Tuesday,Evening,17/10/2024 03:00,17/10/2024 03:00,28,11.59946857,6920,36.71360153,Adverse,1
Winter,6990,479,11,25,Monday,Night,17/10/2024 04:00,17/10/2024 04:00,102,-8.349403205,6260,18.55530455,Adverse,1
Winter,4100,183,1,3,Friday,Afternoon,17/10/2024 05:00,17/10/2024 05:00,91,37.69683763,5409,36.00508273,Adverse,1
Summer,7283,481,43,15,Tuesday,Evening,17/10/2024 06:00,17/10/2024 06:00,5,0.495902287,6783,33.79962449,Clear,1
Summer,9646,290,19,29,Thursday,Afternoon,17/10/2024 07:00,17/10/2024 07:00,15,29.4463512,1712,35.28296669,Clear,0
Autumn,5471,122,9,43,Saturday,Night,17/10/2024 08:00,17/10/2024 08:00,19,28.72860416,6406,24.46149501,Adverse,1
Autumn,1705,544,27,32,Wednesday,Evening,17/10/2024 09:00,17/10/2024 09:00,79,0.886444984,8990,19.14686911,Clear,1
Summer,2490,542,34,26,Sunday,Night,17/10/2024 10:00,17/10/2024 10:00,70,21.06132652,8420,11.10410941,Adverse,1
Autumn,5799,578,44,16,Wednesday,Night,17/10/2024 11:00,17/10/2024 11:00,104,-7.596051576,7843,41.23131764,Clear,1
Autumn,4072,214,4,25,Tuesday,Night,17/10/2024 12:00,17/10/2024 12:00,77,14.17872929,3433,30.41750233,Clear,0
Spring,6475,151,36,28,Wednesday,Evening,17/10/2024 13:00,17/10/2024 13:00,42,-9.267643636,4301,22.2176098,Adverse,0
Autumn,6820,585,18,9,Wednesday,Morning,17/10/2024 14:00,17/10/2024 14:00,25,36.05719401,1270,47.19979534,Adverse,0
Winter,4880,514,15,1,Monday,Evening,17/10/2024 15:00,17/10/2024 15:00,89,38.80430121,2079,2.391940625,Clear,0
Autumn,5257,569,13,29,Thursday,Night,17/10/2024 16:00,17/10/2024 16:00,77,1.114138332,6322,42.50859726,Clear,1
Autumn,3213,242,19,22,Sunday,Evening,17/10/2024 17:00,17/10/2024 17:00,70,0.40530173,9795,49.87912965,Adverse,1
Summer,6088,445,49,16,Thursday,Night,17/10/2024 18:00,17/10/2024 18:00,32,27.68600883,6257,44.34710554,Clear,0
Winter,1466,464,6,41,Monday,Morning,17/10/2024 19:00,17/10/2024 19:00,25,2.668969941,8982,40.52182928,Clear,1
